,Number_Tra,num_pole,num_bus,num_subway,num_Encross,num_tree,pop,Vol,NonPed_D,TrafDir_A,TrafDir_T,RW_TYPE_10,RW_TYPE_3,RW_TYPE_4,RW_TYPE_6,RW_TYPE_7,RW_TYPE_8,RW_TYPE_9,BikeLane_1,BikeLane_11,BikeLane_2,BikeLane_3,BikeLane_4,num_ecollisions_B,num_pedS
139,4,0,0,0,0,1,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,4,0,0,0,0,2,62810,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
141,2,0,0,0,0,0,86117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,4,0,0,0,0,9,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
143,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
144,1,0,0,0,0,17,52700,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,2,0,0,0,0,0,86117,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
146,0,0,0,0,0,1,86117,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,3
147,2,0,0,0,0,0,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
148,2,0,0,0,0,1,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
149,2,0,0,0,0,8,62810,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,5,0,0,0,0,2,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,5,0,0,0,0,4,59869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,2,0,0,1,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
153,2,0,0,0,0,0,52700,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
